index,album,artist,genre
10327286,King of Ska,Prince Buster,Reggae
10327320,The Abba Generation Remix,A*Teens,R&B;
10327651,Endless Flight,Leo Sayer,Pop/Rock
10327660,Homebase,DJ Jazzy Jeff & The Fresh Prince,Rap
10328893,Psychoanalysis: What Is It?,Prince Paul,Rap
10329978,I Can't Quit You Baby,Otis Rush,Blues
10330150,The Marshall Mathers LP,Eminem,Rap
10330497,Maladroit & B Sides,Weezer,Rap
10330825,Controversy,Prince,Pop/Rock
10331536,"Invasion, Part 2: Conspiracy Theory",DJ Green Lantern feat. Eminem,Rap
10332820,The Very Best of Leo Sayer,Leo Sayer,Pop/Rock
10335742,Next to You,Darude,Electronic
10338419,And In This Corner...,DJ Jazzy Jeff & The Fresh Prince,Rap
10338602,St. Anger,Metallica,Pop/Rock
10339475,Music,Darude,Pop/Rock
10341116,The Power of Jennifer Rush,Jennifer Rush,Pop/Rock
10341273,Judge Dread Rock Steady / She Was a Rough Rider,Prince Buster,Pop/Rock
10341313,Politics of the Business,Prince Paul,Rap
10342749,Dangerously In Love,Beyoncé,R&B;
10343344,Dangerously in Love,Beyoncé,R&B;
10344028,The String Quartet Tribute To Coldplay,Vitamin String Quartet,Pop/Rock
10345169,Shady Records Mixtape,DJ Green Lantern feat. Eminem,Pop/Rock
10348709,Pride (In the Name of Love),U2,Pop/Rock
10351455,Seasons in the Abyss / Reign in Blood,Slayer,Pop/Rock
10354394,Fabulous Greatest Hits,Prince Buster,Reggae
10354395,FABulous Greatest Hits,Prince Buster,Reggae
10354410,"The String Quartet Tribute to Tool, Volume 2: Metamorphic",The Section Quartet,Pop/Rock
10355423,Strung Out on OK Computer: The String Quartet Tribute to Radiohead,The Section Quartet,Pop/Rock
10356445,The Very Best of Eagles,Eagles,Pop/Rock
10357420,Still I Can't Be Still,Idina Menzel,Vocal
10359458,The Very Best Of,Eagles,Pop/Rock
10362830,Their Very Best Through the Years,Eagles,Pop/Rock
10366537,Doom Music,Bobby Prince,Pop/Rock
10367222,Lose Yourself,Eminem,Rap
10367894,The Circle Game,Tom Rush,Folk
10368880,Black Man Land,Prince Far I,Reggae
10369479,Songs Put Together for (The Broken Giant),Will Oldham,Reggae
10371932,Passion,Jennifer Rush,Pop/Rock
10378065,The Original Doctor Shade,Ed Rush & Optical,Electronic
10380073,Sandstorm,Darude,Electronic
10384241,Rock Legend,Eagles,Pop/Rock
10387665,Gettin' Jiggy Wit It,Will Smith,Rap
10387731,"Invasion, Part 1: Shady Times",DJ Green Lantern feat. Eminem,Rap
10391914,I Am Drinking Again,"Bonnie ""Prince"" Billy",Rap
10392247,Heavy Manners Anthology 68-82 (disc 2),Prince Far I,Rap
10392300,Peace Love Death Metal,Eagles of Death Metal,Pop/Rock
10393965,Musicology,Prince,R&B;
10394564,newpower Soul,Prince & The New Power Generation,Electronic
10395301,Just Push Play,Aerosmith,Pop/Rock
10395555,Life in the Streets,Prince Ital Joe feat. Marky Mark,Pop/Rock
10396665,She Was a Rough Rider,Prince Buster,Reggae
10396976,Wreck a Pum Pum,Prince Buster,Reggae
